id,title,author,publisher,stock,borrowed
1,C++程序设计,李明,清华大学出版社,20,3
2,Java核心技术,王红,电子工业出版社,15,5
3,Python入门经典,张伟,人民邮电出版社,30,10
4,数据结构与算法,刘芳,机械工业出版社,18,2
5,计算机网络,陈静,高等教育出版社,12,1
6,数据库系统概论,赵强,清华大学出版社,10,0
7,软件工程实践,孙丽,电子工业出版社,8,2
8,人工智能导论,周涛,科学出版社,5,1
9,机器学习实战,吴迪,人民邮电出版社,6,3
10,深度学习,郑爽,机械工业出版社,4,0
11,Go语言编程,马明,机械工业出版社,12,4
12,Rust程序设计,林辉,电子工业出版社,7,1
13,Linux系统管理,赵伟,人民邮电出版社,14,5
14,操作系统原理,钱浩,高等教育出版社,9,2
15,编译原理,陈明,清华大学出版社,6,0
16,计算机组成原理,李丽,机械工业出版社,11,3
17,嵌入式系统开发,王强,电子工业出版社,8,1
18,单片机原理与应用,刘杰,北京邮电大学出版社,10,2
19,树莓派开发实战,张勇,人民邮电出版社,5,0
20,物联网技术导论,黄丽,机械工业出版社,13,4
21,区块链原理与应用,周明,电子工业出版社,7,2
22,大数据技术基础,吴浩,清华大学出版社,16,6
23,数据挖掘导论,郑丽,高等教育出版社,9,3
24,数据分析实战,马辉,人民邮电出版社,12,5
25,云计算架构,林强,机械工业出版社,8,1
26,容器化与Docker,赵杰,电子工业出版社,10,2
27,Kubernetes实战,陈明,人民邮电出版社,6,0
28,微服务架构设计,李涛,机械工业出版社,14,4
29,分布式系统原理,王浩,高等教育出版社,9,2
30,高并发系统设计,张辉,电子工业出版社,11,3
31,网络安全技术,刘勇,清华大学出版社,13,5
32,密码学基础,马丽,机械工业出版社,7,1
33,Web安全攻防,黄明,人民邮电出版社,8,2
34,渗透测试实战,周辉,电子工业出版社,5,0
35,防火墙技术原理,吴杰,高等教育出版社,10,3
36,前端开发实战,郑强,人民邮电出版社,18,7
37,JavaScript高级编程,马涛,机械工业出版社,15,6
38,React框架开发,林丽,电子工业出版社,12,4
39,Vue.js实战,赵明,人民邮电出版社,14,5
40,Node.js服务端开发,陈明,机械工业出版社,9,3
41,后端开发核心技术,李辉,高等教育出版社,16,6
42,SpringBoot实战,王强,电子工业出版社,13,4
43,SpringCloud微服务,张涛,清华大学出版社,10,2
44,MyBatis从入门到精通,刘杰,人民邮电出版社,11,3
45,MySQL数据库实战,马浩,机械工业出版社,19,8
46,Redis设计与实现,黄辉,电子工业出版社,8,2
47,MongoDB实战,周丽,人民邮电出版社,9,3
48,PostgreSQL高级应用,吴明,机械工业出版社,7,1
49,软件测试技术,郑杰,高等教育出版社,12,4
50,自动化测试实战,马强,电子工业出版社,8,2
51,性能测试与调优,林浩,清华大学出版社,6,0
52,DevOps实践指南,赵涛,人民邮电出版社,14,5
53,持续集成与持续部署,陈明,机械工业出版社,10,3
54,项目管理实战,李丽,高等教育出版社,9,2
55,产品经理入门指南,王辉,电子工业出版社,13,4
56,UI/UX设计原则,张勇,人民邮电出版社,7,1
57,平面设计基础,刘明,机械工业出版社,8,2
58,视频剪辑实战,马杰,电子工业出版社,5,0
59,数字图像处理,黄涛,高等教育出版社,11,3
60,计算机图形学,周强,清华大学出版社,9,2
61,算法设计与分析,吴丽,机械工业出版社,15,6
62,编程思想,郑浩,人民邮电出版社,12,4
63,代码整洁之道,马辉,电子工业出版社,8,2
64,设计模式解析,林明,机械工业出版社,10,3
65,重构改善既有代码,赵丽,高等教育出版社,7,1
66,程序员的自我修养,陈明,人民邮电出版社,14,5
67,黑客攻防技术,李涛,电子工业出版社,6,0
68,网络协议深度解析,王浩,机械工业出版社,13,4
69,TCP/IP详解,张辉,高等教育出版社,11,3
70,HTTP协议原理与实践,刘杰,清华大学出版社,9,2
71,操作系统实战45讲,马明,人民邮电出版社,12,4
72,计算机科学导论,黄丽,机械工业出版社,16,6
73,离散数学,周明,高等教育出版社,10,2
74,概率论与数理统计,吴辉,电子工业出版社,14,5
75,线性代数,郑涛,清华大学出版社,18,7
76,高等数学,马强,机械工业出版社,20,8
77,大学物理,林丽,人民邮电出版社,15,6
78,电路原理,赵浩,电子工业出版社,11,3
79,模拟电子技术,陈明,高等教育出版社,9,2
80,数字电子技术,李辉,机械工业出版社,13,4
81,5G通信技术原理,王涛,人民邮电出版社,8,2
82,通信原理,张杰,电子工业出版社,10,3
83,无线通信技术,刘浩,机械工业出版社,7,1
84,卫星通信系统,马丽,高等教育出版社,12,4
85,光纤通信技术,黄明,清华大学出版社,9,2
86,数字信号处理,周杰,人民邮电出版社,11,3
87,信号与系统,吴强,机械工业出版社,14,5
88,信息论基础,郑辉,电子工业出版社,8,2
89,控制工程基础,马涛,高等教育出版社,10,3
90,智能控制技术,林丽,机械工业出版社,6,0
91,机器人技术导论,赵明,人民邮电出版社,13,4
92,工业机器人编程,陈勇,电子工业出版社,9,2
93,无人机技术应用,李丽,机械工业出版社,7,1
94,自动驾驶技术,王浩,高等教育出版社,5,0
95,智能汽车电子,张辉,清华大学出版社,12,4
96,可穿戴设备开发,刘杰,人民邮电出版社,8,2
97,虚拟现实技术,马明,机械工业出版社,10,3
98,增强现实实战,黄涛,电子工业出版社,6,0
99,元宇宙技术导论,周丽,高等教育出版社,14,5
100,数字孪生技术,吴明,机械工业出版社,9,2